fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matrícula,mx1,my1,mx2,my2,texto_matricula
2505,car,"tensor(0.8815, device='cuda:0')",10075,1594,322,1919,500,pl_license_plate,"tensor(0.4846, device='cuda:0')",1816,391,1877,409,
2602,car,"tensor(0.8512, device='cuda:0')",10454,1206,317,1391,457,pl_license_plate,"tensor(0.5744, device='cuda:0')",1272,425,1325,439,ISTA
2603,car,"tensor(0.8742, device='cuda:0')",10458,1206,318,1393,460,pl_license_plate,"tensor(0.5720, device='cuda:0')",1272,427,1326,441,HSeSL4A3
2604,car,"tensor(0.8704, device='cuda:0')",10461,1206,318,1395,463,pl_license_plate,"tensor(0.5285, device='cuda:0')",1273,429,1328,444,HEESL9
2606,car,"tensor(0.8632, device='cuda:0')",10468,1204,317,1402,468,pl_license_plate,"tensor(0.7744, device='cuda:0')",1276,434,1333,449,H96SLBA
2607,car,"tensor(0.8610, device='cuda:0')",10471,1203,317,1405,473,pl_license_plate,"tensor(0.7123, device='cuda:0')",1277,436,1336,451,496K192
2608,car,"tensor(0.8190, device='cuda:0')",10474,1203,316,1410,475,pl_license_plate,"tensor(0.8381, device='cuda:0')",1279,439,1339,454,496S1732
2609,car,"tensor(0.8060, device='cuda:0')",10477,1204,317,1415,477,pl_license_plate,"tensor(0.7549, device='cuda:0')",1281,442,1341,457,496SET?
2610,car,"tensor(0.8715, device='cuda:0')",10482,1205,316,1421,479,pl_license_plate,"tensor(0.8276, device='cuda:0')",1283,445,1345,460,496S0B
2611,car,"tensor(0.8203, device='cuda:0')",10485,1205,316,1425,483,pl_license_plate,"tensor(0.7891, device='cuda:0')",1285,448,1350,464,496SL82
2612,car,"tensor(0.8173, device='cuda:0')",10491,1205,315,1431,489,pl_license_plate,"tensor(0.8272, device='cuda:0')",1289,451,1354,467,496517812
2613,car,"tensor(0.8751, device='cuda:0')",10496,1207,315,1437,490,pl_license_plate,"tensor(0.7936, device='cuda:0')",1292,454,1359,472,4965KBA
2614,car,"tensor(0.8620, device='cuda:0')",10500,1206,314,1441,490,pl_license_plate,"tensor(0.8473, device='cuda:0')",1295,457,1363,475,496582
2615,car,"tensor(0.8471, device='cuda:0')",10505,1208,314,1450,503,pl_license_plate,"tensor(0.8578, device='cuda:0')",1299,461,1368,478,496S1780
2616,car,"tensor(0.8347, device='cuda:0')",10510,1208,315,1457,508,pl_license_plate,"tensor(0.8672, device='cuda:0')",1303,464,1374,483,49651K8
2617,car,"tensor(0.8502, device='cuda:0')",10515,1211,316,1465,508,pl_license_plate,"tensor(0.8359, device='cuda:0')",1309,469,1381,488,4965 KBB
2618,car,"tensor(0.8494, device='cuda:0')",10519,1209,316,1473,515,pl_license_plate,"tensor(0.8505, device='cuda:0')",1315,473,1390,492,[965K82
2619,car,"tensor(0.8572, device='cuda:0')",10523,1210,317,1482,519,pl_license_plate,"tensor(0.8615, device='cuda:0')",1320,478,1397,496,4965 KB9
2620,car,"tensor(0.8815, device='cuda:0')",10527,1209,316,1492,527,pl_license_plate,"tensor(0.8304, device='cuda:0')",1327,482,1405,502,49651K88
2621,car,"tensor(0.8848, device='cuda:0')",10531,1212,317,1503,532,pl_license_plate,"tensor(0.8642, device='cuda:0')",1334,488,1416,508,[96SKBR
2622,car,"tensor(0.9009, device='cuda:0')",10535,1211,316,1516,536,pl_license_plate,"tensor(0.8238, device='cuda:0')",1342,493,1428,514,[965 KBB
2623,car,"tensor(0.8860, device='cuda:0')",10539,1212,316,1526,538,pl_license_plate,"tensor(0.7382, device='cuda:0')",1352,498,1438,520,965 KBP
2624,car,"tensor(0.8751, device='cuda:0')",10543,1213,317,1541,547,pl_license_plate,"tensor(0.8354, device='cuda:0')",1361,504,1451,526,1965 KB0
2625,car,"tensor(0.8882, device='cuda:0')",10545,1214,317,1554,546,pl_license_plate,"tensor(0.8336, device='cuda:0')",1373,510,1465,533,[965 KB2
